9,Cherki,MC,R,MC-CP,R,PUNCTE,42,scor,3,1,,9,B Fernandes,MU,1,,Vi,PUNCTE,43,scor,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Soucek,WH,0,,Du,,formula,343,,,,10,Fornals,BET,1,,Du,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Grealish,EVE,0,,Sa,,,,,,,11,H Barnes,NEW,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Claude-Maurice,AUG,0,,Du,,,,,,,12,Szoboszlai,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Valverde,RM,1,,Du,,,,,,,13,MacAllister,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pogba,MON,0,,Du,,,,,,,14,D Rice,ARS,0,NU,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gyokeres,ARS,0,DA,Mi,,,,,,,15,H Kane,BM,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sorloth,AM,0,,Du,,,,,,,16,Vinicius Jr,RM,2,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Diomande,LPZ,0,,Vi,,,,,,,17,Saka,ARS,1,NU,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Panichelli,STR,2,,Du,,,,,,,18,Summerville,WH,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,C Hernandez,BET,0,,Du,,,,,,,19,Sesko,MU,0,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lookman,AM,1,,Du,,,,,,,20,Ndiaye,EVE,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
