18,Beier,DOR,0,,Sa,,,,,,,18,Gimenez,MIL,0,,Sa,,,,,,,,,,,,,
19,R Leao,MIL,0,,Sa,,,,,,,19,K Yildiz,JUV,1,,Sa,,,,,,,,,,,,,
20,Diomande,LPZ,0,,Vi,,,,,,,20,Immobile,PRS,1,,Du,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FC COLENTINA,,M PANA,57,,3,,Etapa a 24-a,echipa,puncte,,,R.A.F.A.,,C MIHALA,47,,3,,Etapa a 24-a,echipa,puncte,,,,,,,,,
PORTARI,,,,,,,AS ROMA,ROM,,0,,PORTARI,,,,,,,NAPOLI,NAP,,0,,,,,,,,
1,AS ROMA,ROM,0,,Du,,Romero,TOT,0,,,1,NAPOLI,NAP,0,,Vi,,Huijsen,RM,0,,,,,,,,,
2,VILLAREAL,VIL,1,,Vi,,Oppie,STP,0,,,2,AC MILAN,MIL,2,,Sa,,Bremer,JUV,0,,,,,,,,,
FUNDASI,,,,,#N/A,,Bisseck,INT,0,,,FUNDASI,,,,,#N/A,,Struijk,LEE,0,,,,,,,,,
3,Wesley,ROM,0,,Du,,Lee JS,MAI,0,,,3,Huijsen,RM,0,,Du,,De Bruyne,NAP,0,,,,,,,,,
4,Oppie,STP,0,,Du,,H Wilson,FUL,1,,,4,Bremer,JUV,0,,Sa,,Nebel,MAI,2,,,,,,,,,
5,Romero,TOT,0,,Du,,Del Castillo,BRE,0,,,5,Hancko,AM,0,,Du,,Zaniolo,UDI,0,,,,,,,,,
6,A Paredes,BIL,0,,Du,,Baturina,COM,1,,,6,Struijk,LEE,0,,Sa,,M Rogers,AV,0,,,,,,,,,
7,Bisseck,INT,0,,Du,,Scamacca,ATA,0,,,7,Senesi,BOU,0,,Vi,,Mbeumo,MU,0,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Watkins,AV,1,,,MIJLOCASI,,,,,#N/A,,Budimir,OSA,1,,,,,,,,,
8,Nartey,LYO,0,,Du,,Thauvin,LEN,1,,,8,Wissa,NEW,0,,Du,,Edouard,LEN,2,,,,,,,,,
9,Murphy,NEW,0,,Du,PUNCTE,54,scor,4,0,,9,Nebel,MAI,2,,Du,PUNCTE,44,,5,0,,,,,,,,
10,Lee JS,MAI,0,,Du,,formula,343,,,,10,De Bruyne,NAP,0,,Vi,,formula,343,,,,,,,,,,
11,Dewsbury-Hall,EVE,0,,Sa,,,,,,,11,Uzun,FRA,0,,Du,,,,,,,,,,,,,
12,Del Castillo,BRE,0,,Sa,,,,,,,12,Baena,AM,0,,Du,,,,,,,,,,,,,
13,H Wilson,FUL,1,,Sa,,,,,,,13,M Rogers,AV,0,,Du,,,,,,,,,,,,,
14,Baturina,COM,1,,Du,,,,,,,14,Zaniolo,UDI,0,,Vi,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,
15,Haaland,MC,R,,R,,,,,,,15,M Kean,FIO,0,,Du,,,,,,,,,,,,,
16,Watkins,AV,1,,Du,,,,,,,16,Budimir,OSA,1,,Sa,,,,,,,,,,,,,
17,Biereth,MON,0,,Du,,,,,,,17,Mbeumo,MU,0,,Vi,,,,,,,,,,,,,
18,Castellanos,WH,0,,Du,,,,,,,18,Edouard,LEN,2,,Vi,,,,,,,,,,,,,
19,Scamacca,ATA,0,,Du,,,,,,,19,S Larsen,CP,R,,R,,,,,,,,,,,,,
20,Thauvin,LEN,1,,Vi,,,,,,,20,Ajorque,BRE,0,,Sa,,,,,,,,,,,,,
