BRITANICII,,D MOLAN,32,,0,,Etapa a 16-a,echipa,puncte,,,FC MUMU LU' TALPANU',,L MOLAN,32,,3,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restante,Restante
14,El Mala,KOL,0,,Du,,,,,,,14,Smith Rowe,FUL,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,L Diaz,BM,0,,Sa,,,,,,,15,Mbappe,RM,2,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ekitike,LIV,0,,Sa,,,,,,,16,Barcola,PSG,1,,Vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Marmoush,MC,1,,Sa,,,,,,,17,Puado,ESP,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Boniface,WB,0,,Sa,,,,,,,18,Scamacca,ATA,1,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,S Larsen,WLV,0,,Sa,,,,,,,19,B Johnson,CP,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vlahovic,JUV,0,,Du,,,,,,,20,Kramaric,HOF,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METALU' BOB,,A BOBEICA,29,,3,,Etapa a 16-a,echipa,puncte,,,FC HUTU,,M HUTU,27,,0,,Etapa a 16-a,echipa,puncte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTARI,,,,,,,TOTTENHAM,TOT,,2,,PORTARI,,,,,,,BOLOGNA,BOL,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LILLE,LIL,4,,Du,,Del Prato,PAR,0,,,1,BOLOGNA,BOL,3,,Du,,Senesi,BOU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TOTTENHAM,TOT,2,,Sa,,L Vazquez,BL,2,,,2,MAN UTD,MU,2,,Du,,Huijsen,RM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNDASI,,,,,#N/A,,M Alonso,CEL,0,,,FUNDASI,,,,,#N/A,,Guehi,JUV,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gvardiol,MC,0,,Sa,,Grifo,FRE,0,,,3,Bremer,JUV,0,,Du,,McTomminay,NAP,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Del Prato,PAR,0,,Du,,Valverde,RM,0,,,4,Huijsen,RM,0,,Sa,,H Barnes,NEW,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,L Vazquez,BL,2,,Sa,,Cherki,MC,0,,,5,Milenkovic,NOT,0,,Du,,B Fernandes,MU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dorgu,MU,2,,Du,,Soucek,WH,0,,,6,Guehi,MC,0,,Sa,,D Rice,ARS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,M Alonso,CEL,0,,Du,,Gyokeres,ARS,0,,,7,Senesi,BOU,0,,Sa,,H Kane,BM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIJLOCASI,,,,,#N/A,,Lookman,ATA,0,,,MIJLOCASI,,,,,#N/A,,Vinicius Jr,RM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Grifo,FRE,0,,Du,,Panichelli,STR,1,,,8,McTomminay,NAP,0,,Du,,Saka,ARS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Cherki,MC,0,,Sa,PUNCTE,26,scor,3,2,,9,B Fernandes,MU,0,,Du,PUNCTE,27,scor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Soucek,WH,0,,Sa,,formula,343,,,,10,Paqueta,WH,0,,Sa,,formula,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Grealish,EVE,0,,Lu,,,,,,,11,H Barnes,NEW,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Claude-Maurice,AUG,0,,Sa,,,,,,,12,Szoboszlai,LIV,1,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Valverde,RM,0,,Sa,,,,,,,13,MacAllister,LIV,0,,Sa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Pogba,MON,0,,Sa,,,,,,,14,D Rice,ARS,0,,Du,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATACANTI,,,,,#N/A,,,,,,,ATACANTI,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
